Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithKeyFobEnrollment		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithISMVEnrollmentWithDefaultSensorName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithISMVEnrollmentWithCustomSensorName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithOSMVEnrollmentWithDefaultSensorName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithOSMVEnrollmentWithCustomSensorName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithSensorBulkEnrollment		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DASAccessSensorEnrollmentWithDefaultName		IOS-Device-IOS-10.3	1709a06809cdf23c395947cab4a234f797bf73f1	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room'"
	DASAccessSensorEnrollmentWithCustomSensorName		IOS-Device-IOS-10.3	1709a06809cdf23c395947cab4a234f797bf73f1	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room'"
	DASMotionSensorEnrollmentWithDefaultSensorName		IOS-Device-IOS-10.3	1709a06809cdf23c395947cab4a234f797bf73f1	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room'"
	DASMotionSensorEnrollmentWithCustomName		IOS-Device-IOS-10.3	1709a06809cdf23c395947cab4a234f797bf73f1	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room'"
	DASKeyFobEnrollment		IOS-Device-IOS-10.3	1709a06809cdf23c395947cab4a234f797bf73f1	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room'"
	DASISMVEnrollmentWithDefaultSensorName		IOS-Device-IOS-10.3	1709a06809cdf23c395947cab4a234f797bf73f1	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room'"
	DASISMVEnrollmentWithCustomName		IOS-Device-IOS-10.3	1709a06809cdf23c395947cab4a234f797bf73f1	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room'"
	DASOSMVEnrollmentWithDefaultSensorName		IOS-Device-IOS-10.3	1709a06809cdf23c395947cab4a234f797bf73f1	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room'"
	DASOSMVEnrollmentWithCustomName		IOS-Device-IOS-10.3	1709a06809cdf23c395947cab4a234f797bf73f1	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room'"
	KatanaDIYRegistrationWithNewCustomLocationAndBaseStationName		IOS-Device-IOS-10.3	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katqa1@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	ComboSensorEnrollment		IOS-Device-IOS-10.3	c85d7cb996a05d26abb89c93df86d62af5486f1f	Local	Producton	"AcquisitionType=Specific, TestData='USERID=das_stage4@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	ComboSensorSmokeAlarms		IOS-Device-IOS-10.3	c85d7cb996a05d26abb89c93df86d62af5486f1f	Local	Producton	"AcquisitionType=Specific, TestData='USERID=das_stage4@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
